player,gender,cluster,archetype,n_points
Karim Mohamed Maamoun,M,3,Big-serving baseliner,6380
Emil Ruusuvuori,M,3,Big-serving baseliner,6318
Jaume Munar,M,0,Baseline grinder / counterpuncher,6278
Philipp Kohlschreiber,M,0,Baseline grinder / counterpuncher,6217
Karen Khachanov (2023–2026),M,0,Baseline grinder / counterpuncher,6202
Yoshihito Nishioka,M,0,Baseline grinder / counterpuncher,6152
John Mcenroe (1986–1992),M,1,Net-rusher / serve-volleyer,6031
Alexander Bublik (2024–2026),M,2,Slice & variety,5901
Thomas Muster,M,0,Baseline grinder / counterpuncher,5781
Jesper De Jong,M,3,Big-serving baseliner,5764
Alexei Popyrin,M,3,Big-serving baseliner,5688
Dusan Lajovic,M,0,Baseline grinder / counterpuncher,5650
Maxime Cressy,M,1,Net-rusher / serve-volleyer,5594
Laslo Djere,M,3,Big-serving baseliner,5434
Jakub Mensik,M,3,Big-serving baseliner,5382
Juan Carlos Ferrero,M,0,Baseline grinder / counterpuncher,5295
Todd Martin,M,1,Net-rusher / serve-volleyer,5287
Giovanni Mpetshi Perricard,M,2,Slice & variety,5212
Goran Ivanisevic (1995–2001),M,1,Net-rusher / serve-volleyer,5208
Petr Korda,M,3,Big-serving baseliner,5120
Bernard Tomic,M,3,Big-serving baseliner,5052
Thanasi Kokkinakis,M,3,Big-serving baseliner,5027
Tomas Machac,M,3,Big-serving baseliner,5010
Janko Tipsarevic,M,3,Big-serving baseliner,5001
Lucas Pouille,M,3,Big-serving baseliner,4985
Daniel Evans,M,2,Slice & variety,4968
Jenson Brooksby,M,0,Baseline grinder / counterpuncher,4929
Aslan Karatsev,M,3,Big-serving baseliner,4838
Feliciano Lopez (2003–2017),M,2,Slice & variety,4834
Marcos Giron,M,0,Baseline grinder / counterpuncher,4788
Nikoloz Basilashvili,M,3,Big-serving baseliner,4784
Andreas Seppi,M,0,Baseline grinder / counterpuncher,4770
Kevin Anderson,M,3,Big-serving baseliner,4701
Marcos Baghdatis,M,3,Big-serving baseliner,4662
Jack Draper,M,3,Big-serving baseliner,4620
Mackenzie Mcdonald,M,3,Big-serving baseliner,4607
Pedro Martinez,M,0,Baseline grinder / counterpuncher,4602
David Ferrer (2014–2019),M,0,Baseline grinder / counterpuncher,4525
Jordan Thompson,M,3,Big-serving baseliner,4487
Benoit Paire (2012–2019),M,3,Big-serving baseliner,4473
Mark Philippoussis,M,1,Net-rusher / serve-volleyer,4439
Feliciano Lopez (2018–2023),M,2,Slice & variety,4321
Aljaz Bedene,M,3,Big-serving baseliner,4317
Cristian Garin,M,3,Big-serving baseliner,4286
Jimmy Connors (1974–1984),M,0,Baseline grinder / counterpuncher,4264
Richard Krajicek (1992–1996),M,1,Net-rusher / serve-volleyer,4196
Greg Rusedski,M,1,Net-rusher / serve-volleyer,4153
Alexandr Dolgopolov,M,0,Baseline grinder / counterpuncher,4087
Bjorn Borg,M,0,Baseline grinder / counterpuncher,4065
Tomas Martin Etcheverry,M,0,Baseline grinder / counterpuncher,4041
Albert Ramos,M,0,Baseline grinder / counterpuncher,4034
Sergi Bruguera,M,0,Baseline grinder / counterpuncher,4031
Marcelo Rios,M,0,Baseline grinder / counterpuncher,3971
Learner Tien,M,3,Big-serving baseliner,3961
Robin Soderling,M,3,Big-serving baseliner,3954
Alex Corretja,M,0,Baseline grinder / counterpuncher,3919
Corentin Moutet,M,2,Slice & variety,3806
Michael Chang (1989–1993),M,0,Baseline grinder / counterpuncher,3756
Guillermo Coria,M,0,Baseline grinder / counterpuncher,3732
Flavio Cobolli,M,3,Big-serving baseliner,3732
Roberto Carballes Baena,M,0,Baseline grinder / counterpuncher,3721
Tim Henman (1995–1999),M,1,Net-rusher / serve-volleyer,3669
Pat Cash,M,1,Net-rusher / serve-volleyer,3601
Zhizhen Zhang,M,3,Big-serving baseliner,3593
Alejandro Tabilo,M,0,Baseline grinder / counterpuncher,3588
John Millman,M,0,Baseline grinder / counterpuncher,3580
Tim Henman (2000–2006),M,2,Slice & variety,3533
Michael Chang (1994–1998),M,3,Big-serving baseliner,3523
Daniel Altmaier,M,2,Slice & variety,3477
Steve Johnson,M,2,Slice & variety,3458
Guy Forget,M,1,Net-rusher / serve-volleyer,3450
Fabian Marozsan,M,3,Big-serving baseliner,3394
Sam Querrey,M,3,Big-serving baseliner,3392
Matteo Arnaldi,M,3,Big-serving baseliner,3388
Tommy Robredo,M,0,Baseline grinder / counterpuncher,3368
