player,gender,archetype,shots,avg_wpa_lost,accuracy,archetype_mean,class_rel_z,rank_overall,rank_in_archetype,archetype_size
Sergiy Stakhovsky,M,Slice & variety,4927,0.0866,59.4615,0.0839,0.2948,196,18,26
Andre Agassi (1988–1997),M,Baseline grinder / counterpuncher,47681,0.0706,65.4556,0.0687,0.2952,62,49,82
Yannick Hanfmann,M,Big-serving baseliner,4629,0.0818,61.2129,0.0795,0.3048,163,67,107
Gijs Brouwer,M,Big-serving baseliner,5046,0.0818,61.2119,0.0795,0.3051,164,68,107
Todd Martin,M,Net-rusher / serve-volleyer,9428,0.0909,57.9607,0.0891,0.3055,216,14,26
Marc Rosset,M,Big-serving baseliner,4869,0.0819,61.1825,0.0795,0.3155,165,69,107
Jiri Novak,M,Baseline grinder / counterpuncher,5388,0.0709,65.3627,0.0687,0.3307,66,50,82
Fernando Verdasco,M,Big-serving baseliner,19698,0.0821,61.0873,0.0795,0.3492,166,70,107
Henri Leconte,M,Net-rusher / serve-volleyer,5950,0.0912,57.8643,0.0891,0.3514,218,15,26
Jo Wilfried Tsonga,M,Big-serving baseliner,30901,0.0822,61.0805,0.0795,0.3516,167,71,107
Jimmy Connors (1985–1991),M,Baseline grinder / counterpuncher,9925,0.071,65.3,0.0687,0.3547,69,51,82
Daniel Elahi Galan,M,Baseline grinder / counterpuncher,6670,0.071,65.2981,0.0687,0.3554,70,52,82
Marco Cecchinato,M,Big-serving baseliner,6898,0.0822,61.0666,0.0795,0.3566,168,72,107
Felix Auger Aliassime,M,Big-serving baseliner,35769,0.0824,60.9976,0.0795,0.381,170,73,107
David Nalbandian,M,Baseline grinder / counterpuncher,21594,0.0713,65.1948,0.0687,0.395,72,53,82
Carlos Moya,M,Baseline grinder / counterpuncher,15798,0.0714,65.1564,0.0687,0.4097,73,54,82
Adrian Mannarino,M,Baseline grinder / counterpuncher,29779,0.0714,65.1493,0.0687,0.4124,74,55,82
Pat Cash,M,Net-rusher / serve-volleyer,6474,0.0917,57.6831,0.0891,0.4377,219,16,26
Patrick Rafter,M,Net-rusher / serve-volleyer,16955,0.0917,57.6685,0.0891,0.4447,220,17,26
Ernests Gulbis,M,Big-serving baseliner,7141,0.0829,60.793,0.0795,0.4537,171,74,107
Jannik Sinner (2013–2023),M,Baseline grinder / counterpuncher,63105,0.0717,65.0356,0.0687,0.4561,76,56,82
James Blake,M,Big-serving baseliner,14044,0.083,60.7696,0.0795,0.462,172,75,107
Greg Rusedski,M,Net-rusher / serve-volleyer,7201,0.092,57.5904,0.0891,0.482,221,18,26
Sebastian Baez,M,Baseline grinder / counterpuncher,19497,0.0719,64.9632,0.0687,0.4839,77,57,82
Fabio Fognini,M,Big-serving baseliner,17278,0.0833,60.6654,0.0795,0.4991,174,76,107
Jiri Lehecka,M,Big-serving baseliner,17458,0.0833,60.6536,0.0795,0.5033,176,77,107
Jan Lennard Struff,M,Big-serving baseliner,13323,0.0834,60.6174,0.0795,0.5162,177,78,107
Flavio Cobolli,M,Big-serving baseliner,8612,0.0836,60.5529,0.0795,0.5393,180,79,107
Tallon Griekspoor,M,Big-serving baseliner,40561,0.0836,60.5408,0.0795,0.5436,181,80,107
Steve Johnson,M,Slice & variety,6987,0.089,58.6164,0.0839,0.5509,208,19,26
Mark Philippoussis,M,Net-rusher / serve-volleyer,7926,0.0924,57.4414,0.0891,0.5534,223,19,26
Giovanni Mpetshi Perricard,M,Slice & variety,9308,0.0892,58.5597,0.0839,0.5683,209,20,26
Tommy Robredo,M,Baseline grinder / counterpuncher,8565,0.0727,64.6633,0.0687,0.5995,81,58,82
Jim Courier,M,Baseline grinder / counterpuncher,22009,0.0727,64.6548,0.0687,0.6028,82,59,82
Otto Virtanen,M,Big-serving baseliner,5017,0.0841,60.3658,0.0795,0.6062,182,81,107
Marin Cilic,M,Big-serving baseliner,32731,0.0842,60.3413,0.0795,0.615,183,82,107
Kevin Anderson,M,Big-serving baseliner,9765,0.0845,60.232,0.0795,0.6542,184,83,107
Alex Michelsen,M,Baseline grinder / counterpuncher,6109,0.0731,64.503,0.0687,0.6616,83,60,82
Tim Van Rijthoven,M,Slice & variety,5459,0.0904,58.1333,0.0839,0.699,212,21,26
Michael Stich,M,Net-rusher / serve-volleyer,17202,0.0933,57.1256,0.0891,0.7052,226,20,26
Lucas Pouille,M,Big-serving baseliner,10986,0.0849,60.0691,0.0795,0.7127,186,84,107
Alexei Popyrin,M,Big-serving baseliner,12053,0.085,60.0568,0.0795,0.7172,187,85,107
Gilles Muller,M,Slice & variety,4472,0.0906,58.0736,0.0839,0.7174,214,22,26
Tommy Paul,M,Baseline grinder / counterpuncher,31327,0.0735,64.3574,0.0687,0.7181,84,61,82
Ben Shelton,M,Big-serving baseliner,18184,0.085,60.0518,0.0795,0.719,188,86,107
Alejandro Tabilo,M,Baseline grinder / counterpuncher,8609,0.0736,64.2918,0.0687,0.7435,87,62,82
Mikhail Kukushkin,M,Baseline grinder / counterpuncher,7290,0.0737,64.2526,0.0687,0.7588,88,63,82
Andreas Seppi,M,Baseline grinder / counterpuncher,12242,0.074,64.1511,0.0687,0.7983,89,64,82
Marcelo Rios,M,Baseline grinder / counterpuncher,10105,0.074,64.138,0.0687,0.8034,90,65,82
Dustin Brown,M,Net-rusher / serve-volleyer,4256,0.0939,56.9183,0.0891,0.8053,227,21,26
Nikolay Davydenko,M,Baseline grinder / counterpuncher,29224,0.0742,64.0606,0.0687,0.8336,95,66,82
Zizou Bergs,M,Big-serving baseliner,6252,0.0861,59.6585,0.0795,0.8611,193,87,107
Nicolas Massu,M,Baseline grinder / counterpuncher,5521,0.0745,63.9439,0.0687,0.8792,98,67,82
Radu Albot,M,Baseline grinder / counterpuncher,6043,0.0746,63.9031,0.0687,0.8951,99,68,82
Wayne Ferreira,M,Big-serving baseliner,4897,0.0865,59.514,0.0795,0.9135,195,88,107
Marton Fucsovics,M,Baseline grinder / counterpuncher,20211,0.0749,63.7918,0.0687,0.9387,102,69,82
Arthur Rinderknech,M,Big-serving baseliner,6644,0.0868,59.4192,0.0795,0.948,198,89,107
Leonardo Mayer,M,Big-serving baseliner,5935,0.0869,59.3645,0.0795,0.9679,199,90,107
Mardy Fish,M,Big-serving baseliner,4848,0.087,59.3316,0.0795,0.9799,200,91,107
Jack Sock,M,Big-serving baseliner,5568,0.0871,59.2916,0.0795,0.9945,202,92,107
Feliciano Lopez (2018–2023),M,Slice & variety,8939,0.0932,57.1495,0.0839,1.0044,225,23,26
Nikoloz Basilashvili,M,Big-serving baseliner,10826,0.0872,59.2509,0.0795,1.0093,203,93,107
Dusan Lajovic,M,Baseline grinder / counterpuncher,14222,0.0754,63.6101,0.0687,1.01,105,70,82
Philipp Kohlschreiber,M,Baseline grinder / counterpuncher,14406,0.0756,63.5211,0.0687,1.045,110,71,82
Carlos Alcaraz,M,Baseline grinder / counterpuncher,85844,0.0757,63.4878,0.0687,1.0581,111,72,82
Richard Krajicek (1997–2000),M,Net-rusher / serve-volleyer,4114,0.0955,56.3879,0.0891,1.0631,232,22,26
Denis Shapovalov,M,Big-serving baseliner,31382,0.0877,59.0857,0.0795,1.0697,205,94,107
Benoit Paire (2012–2019),M,Big-serving baseliner,9454,0.0889,58.6438,0.0795,1.2321,207,95,107
Francisco Cerundolo,M,Baseline grinder / counterpuncher,17319,0.077,63.0168,0.0687,1.2442,123,73,82
Alexander Bublik (2017–2023),M,Slice & variety,16623,0.0956,56.3506,0.0839,1.2563,233,24,26
Joao Sousa,M,Baseline grinder / counterpuncher,6001,0.0771,62.957,0.0687,1.2679,124,74,82
Richard Krajicek (1992–1996),M,Net-rusher / serve-volleyer,6685,0.0969,55.9254,0.0891,1.29,234,23,26
Federico Delbonis,M,Baseline grinder / counterpuncher,6865,0.0773,62.877,0.0687,1.2997,128,75,82
Milos Raonic,M,Big-serving baseliner,26494,0.0898,58.3466,0.0795,1.342,210,96,107
Kei Nishikori,M,Baseline grinder / counterpuncher,27622,0.0777,62.7569,0.0687,1.3475,131,76,82
Thomas Johansson,M,Baseline grinder / counterpuncher,4946,0.0778,62.7006,0.0687,1.3699,133,77,82
