player,gender,archetype,shots,avg_wpa_lost,accuracy,archetype_mean,class_rel_z,rank_overall,rank_in_archetype,archetype_size
Samantha Stosur,W,All-courter,8507,0.0805,61.6774,0.0775,0.4264,104,49,67
Emma Raducanu,W,Baseline grinder / counterpuncher,21600,0.0713,65.1932,0.0684,0.4378,38,23,39
Madison Keys,W,Big serve / first-strike,19343,0.0905,58.1107,0.0864,0.4487,137,29,39
Julia Goerges,W,Big serve / first-strike,6820,0.0905,58.0919,0.0864,0.4547,138,30,39
Carla Suarez Navarro,W,Baseline grinder / counterpuncher,12516,0.0717,65.0537,0.0684,0.4919,40,24,39
Arantxa Sanchez Vicario,W,Baseline grinder / counterpuncher,11249,0.0719,64.9751,0.0684,0.5225,41,25,39
Sofia Kenin,W,All-courter,25025,0.0813,61.4154,0.0775,0.5266,108,50,67
Petra Martic,W,Baseline grinder / counterpuncher,8944,0.0722,64.8546,0.0684,0.5694,44,26,39
Magda Linette (2016–2024),W,Baseline grinder / counterpuncher,13681,0.0724,64.7724,0.0684,0.6015,45,27,39
Xin Yu Wang,W,All-courter,6350,0.0818,61.2005,0.0775,0.6092,111,51,67
Anastasia Myskina,W,Baseline grinder / counterpuncher,5273,0.0725,64.7418,0.0684,0.6135,46,28,39
Martina Navratilova,W,Slice & net specialist,12185,0.0795,62.0563,0.0754,0.6363,94,6,7
Anhelina Kalinina,W,Baseline grinder / counterpuncher,6986,0.0728,64.6005,0.0684,0.6687,50,29,39
Kim Clijsters,W,Baseline grinder / counterpuncher,16231,0.073,64.5273,0.0684,0.6974,51,30,39
Nuria Parrizas Diaz,W,Baseline grinder / counterpuncher,5437,0.0731,64.503,0.0684,0.7069,52,31,39
Jil Teichmann,W,Baseline grinder / counterpuncher,11358,0.0731,64.482,0.0684,0.7151,55,32,39
Lesia Tsurenko,W,Baseline grinder / counterpuncher,6496,0.0732,64.4727,0.0684,0.7188,56,33,39
Marta Kostyuk,W,All-courter,20716,0.0828,60.8621,0.0775,0.7397,113,52,67
Caroline Garcia,W,Big serve / first-strike,10705,0.0932,57.1754,0.0864,0.7501,143,31,39
Eva Lys,W,All-courter,5609,0.0829,60.8007,0.0775,0.7635,114,53,67
Shuai Zhang,W,All-courter,5384,0.083,60.7808,0.0775,0.7712,115,54,67
Bianca Andreescu (2017–2022),W,All-courter,39319,0.083,60.7803,0.0775,0.7714,116,55,67
Coco Vandeweghe,W,Big serve / first-strike,3999,0.0934,57.0919,0.0864,0.7772,144,32,39
Tamara Zidansek,W,Baseline grinder / counterpuncher,7137,0.0736,64.2825,0.0684,0.7934,59,34,39
Olga Danilovic,W,All-courter,9402,0.0833,60.6759,0.0775,0.8119,117,56,67
Anastasija Sevastova,W,Baseline grinder / counterpuncher,5572,0.0739,64.1774,0.0684,0.8348,60,35,39
Liudmila Samsonova,W,Big serve / first-strike,11853,0.0941,56.8569,0.0864,0.8539,145,33,39
Bianca Andreescu (2023–2026),W,All-courter,24021,0.0837,60.5082,0.0775,0.877,119,57,67
Kristina Mladenovic,W,All-courter,6275,0.0841,60.3863,0.0775,0.9245,120,58,67
Petra Kvitova,W,Big serve / first-strike,26843,0.0948,56.6297,0.0864,0.9282,147,34,39
Amanda Anisimova,W,Big serve / first-strike,20680,0.0951,56.5018,0.0864,0.9702,148,35,39
Maya Joint,W,All-courter,5259,0.0844,60.2624,0.0775,0.9728,121,59,67
Lauren Davis,W,All-courter,4928,0.0844,60.2518,0.0775,0.977,122,60,67
Sabine Lisicki,W,Big serve / first-strike,6866,0.0968,55.9436,0.0864,1.1547,149,36,39
Peyton Stearns,W,All-courter,5037,0.0865,59.5131,0.0775,1.2674,128,61,67
Su Wei Hsieh,W,Baseline grinder / counterpuncher,8627,0.0769,63.028,0.0684,1.2917,76,36,39
Sloane Stephens,W,Baseline grinder / counterpuncher,11948,0.0775,62.8173,0.0684,1.3764,80,37,39
Dayana Yastremska,W,Big serve / first-strike,9931,0.0988,55.2799,0.0864,1.3764,150,37,39
Karolina Muchova,W,Baseline grinder / counterpuncher,23695,0.0779,62.6662,0.0684,1.4372,84,38,39
Laura Siegemund,W,All-courter,7799,0.0886,58.7546,0.0775,1.5693,134,62,67
Jelena Ostapenko,W,Big serve / first-strike,13471,0.1013,54.4694,0.0864,1.6508,151,38,39
Kaja Juvan,W,Baseline grinder / counterpuncher,6629,0.0797,61.9732,0.0684,1.7184,96,39,39
Taylor Townsend,W,Slice & net specialist,4979,0.0877,59.0851,0.0754,1.9072,131,7,7
Bernarda Pera,W,All-courter,4448,0.0921,57.5491,0.0775,2.0574,139,63,67
Camila Giorgi,W,All-courter,11403,0.0925,57.4169,0.0775,2.1115,140,64,67
Arianne Hartono,W,All-courter,5915,0.0927,57.3268,0.0775,2.1485,141,65,67
Anastasia Pavlyuchenkova,W,All-courter,9260,0.093,57.2496,0.0775,2.1803,142,66,67
Aliaksandra Sasnovich,W,All-courter,7607,0.0945,56.7375,0.0775,2.3918,146,67,67
Alycia Parks,W,Big serve / first-strike,5415,0.1204,48.5447,0.0864,3.79,152,39,39
